,Under 10,10s,20s,30s,40s,50s,60s,70s,80s,Over 90
2021-02-03,0.0038661825016579974,0.013718131228160993,0.013828346872729675,0.012124298306235527,0.012592009334026159,0.012592049475596927,0.013162657540557439,0.0134114881229439,0.021461237103747522,0.020091848450057407
2021-02-10,0.0032713851937106134,0.004658987964281092,0.015066706294168153,0.012932584859984561,0.01115747662508647,0.010201154005546878,0.008336349775686378,0.009072477259638521,0.010925720707362375,0.014351320321469576
2021-02-17,0.002973986539736921,0.005694318623010224,0.006398190344098805,0.005860077514680505,0.005578738312543235,0.007172686410150148,0.006800706395954676,0.006508516294958069,0.014047355195180196,0.025832376578645237
2021-02-24,0.0035687838476843054,0.0036236573055519606,0.009906875371507827,0.008689080452802127,0.004941168219681151,0.0036660397207434092,0.004826307764871061,0.006902971827985831,0.0066334732866128706,0.0
2021-03-03,0.0,0.004141322634916527,0.009700482134601413,0.010103581921862939,0.005259953266112193,0.007013293378813478,0.00811697215001042,0.004733466396333141,0.007413881908567326,0.0
2021-03-10,0.002973986539736921,0.00621198395237479,0.010732448319133479,0.00828493717592761,0.007491448591129487,0.006216328222130129,0.010310748406769994,0.0076918828940413546,0.01014531208540792,0.014351320321469576
2021-03-17,0.0,0.012165135240067296,0.025386368139488805,0.010709796837174716,0.010838691578655428,0.011795084318913577,0.010310748406769994,0.005522377462388665,0.005853064664658415,0.0
2021-03-24,0.011003750197026608,0.03131875242655623,0.06934812760055478,0.03980811277213998,0.02853126165557826,0.019445949823073735,0.017550210054076584,0.014594854722027185,0.015217968128111879,0.0
2021-03-31,0.014572534044710914,0.05927268021224279,0.14261772670233142,0.0701188585377288,0.05148378499861329,0.044789441805604256,0.03619730823653296,0.023075648682124063,0.021071032792770294,0.04879448909299656
2021-04-07,0.024981486933790136,0.0696259867995341,0.17027442044779076,0.10487518034893731,0.0879846728149676,0.07555229685358156,0.050676231531146136,0.038459414470206774,0.0409714526526089,0.040183696900114814
2021-04-14,0.04550199405797489,0.08670894266856477,0.19070735090152566,0.126496845661724,0.10217060738114897,0.09722974911536868,0.07305274935009379,0.052659813659206196,0.052677581981925736,0.06314580941446613
2021-04-21,0.04788118328976443,0.08696777533324705,0.1611931180239086,0.1206367681470435,0.10344574756687314,0.08989766967388185,0.07305274935009379,0.0577877355885671,0.057750238024629696,0.08897818599311137
2021-04-28,0.04342020348015905,0.0755791380872266,0.1343619972260749,0.09921717447269406,0.08479682235065718,0.07985590869967166,0.07063959546765826,0.05325149695874784,0.07452902339665049,0.0774971297359357
2021-05-05,0.02825287212750075,0.07324964410508607,0.11640578561521696,0.08305144339771335,0.07220481301663102,0.06487296375402467,0.05901258130683252,0.0568015967559977,0.06555432424417425,0.10907003444316878
2021-05-12,0.02825287212750075,0.0499547042836806,0.09783039429363978,0.05961113333899134,0.053396495277199536,0.04797730243233766,0.04080423837572806,0.0351065424394708,0.03199675350013267,0.07462686567164178
