,Under 10,10s,20s,30s,40s,50s,60s,70s,80s,Over 90
2020-09-02,0.0,0.0034366441434296653,0.01322920927998502,0.008944117156009254,0.00450778042902049,0.004102752618786997,0.003958914386496935,0.0031162404428800917,0.005223623314075576,0.016177957532861477
2020-09-09,0.0064542897976119125,0.0031722869016273833,0.012008051500294095,0.009142875315031681,0.004207261733752457,0.004430972828289957,0.003563022947847241,0.0020255562878720595,0.004701260982668018,0.0
2020-09-16,0.002151429932537304,0.0026435724180228193,0.011193946313833478,0.006559019247740119,0.0051088178195565544,0.004102752618786997,0.0025732943512230076,0.0020255562878720595,0.003917717485556682,0.007077856420626896
2020-09-23,0.002458777065756919,0.0021148579344182554,0.010583367423988016,0.00556522845262798,0.0034559649955823754,0.002461651571272198,0.0025732943512230076,0.002337180332160069,0.003134173988445345,0.0
2020-09-30,0.0,0.004758430352441075,0.011397472610448633,0.005167712134583125,0.0036062243432163914,0.0031180919902781172,0.002177402912573314,0.0017139322435840505,0.0,0.0
2020-10-07,0.002472172607091427,0.004018237440329174,0.010921733643186961,0.0029820006441121393,0.0028030441058990063,0.0029747972049431735,0.001238203531769207,0.0,0.0,0.0
2020-10-14,0.0,0.003750354944307229,0.00950595335610717,0.004771201030579423,0.004983189521598233,0.0037576385746650614,0.002682774318833282,0.002403803779100048,0.0015052269004116796,0.004806352074902191
2020-10-21,0.0021631510312049985,0.0034824724482852842,0.015978091811329073,0.007156801545869134,0.005917537556897902,0.005479889588053215,0.0039209778506024895,0.004807607558200096,0.006020907601646718,0.012496515394745696
2020-10-28,0.0,0.006697062400548623,0.01901190671221434,0.011928002576448557,0.00809768297259713,0.009237528162718276,0.006191017658846036,0.00416659321710675,0.007526134502058398,0.011535244979765259
2020-11-04,0.0,0.005357649920438899,0.022045721613099607,0.012723202748211794,0.010122103715746412,0.011116347450050806,0.007841955701204979,0.006890904166753471,0.009783974852675917,0.014419056224706572
2020-11-11,0.0,0.013126242305075302,0.03276520092956089,0.01908480412231769,0.013236597166745308,0.010333506080328918,0.011143831785922865,0.008974200775306846,0.009031361402470078,0.018264137884628325
2020-11-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-16,0.00772553939716071,0.011786829824965577,0.03033814900885267,0.018687204036436072,0.015105293237344644,0.020353875612769082,0.020017623763602183,0.016025358527333652,0.02634147075720439,0.05190860240894366
2020-12-22,0.0067984746695014244,0.011786829824965577,0.031956183622658146,0.015506403349383123,0.016039641272644314,0.01800535150360342,0.016922114934179163,0.018268908721160364,0.025087115006861328,0.02595430120447183
2020-12-30,0.009270647276592851,0.012590477313031413,0.035394507176994786,0.020277604379962545,0.012146524458895695,0.015969963942326512,0.015683911402409958,0.013461301162960269,0.01630662475445986,0.032683194109334894
2021-01-06,0.010815755156024993,0.029199192066392,0.07402508358160052,0.042742009232273996,0.03052203581978918,0.031157086514931133,0.02703411044362769,0.021153473256080423,0.025839728457067165,0.0528698728239241
2021-01-13,0.018232272977299274,0.028395544578326163,0.07180028598761799,0.036778007944049715,0.02725181769624034,0.03225306443254178,0.024351336124794405,0.025480320058460508,0.035874574459811695,0.06056003614376761
2021-01-20,0.013905970914889277,0.025716719618106714,0.048338784087438594,0.029820006441121392,0.026006020315840782,0.027869152762099204,0.019604889253012445,0.021153473256080423,0.029853666858164978,0.06056003614376761
2021-01-27,0.010815755156024993,0.0184838922255142,0.02791109708814446,0.01669920360702798,0.01697398930794398,0.02051044388671346,0.015683911402409958,0.018268908721160364,0.030355409158302205,0.03172192369435446
2021-02-03,0.005871409941842139,0.008572239872702237,0.015978091811329073,0.010735202318803701,0.01105645175104608,0.01095977917610643,0.010731097275333128,0.010897243798586883,0.017310109354734315,0.024993030789491392
2021-02-10,0.003090215758864284,0.004821884928395009,0.012337513930266754,0.008747201889395609,0.007007610264747516,0.006732435779608235,0.008873791977679318,0.005288368314020106,0.008278747952264237,0.014419056224706572
2021-02-17,0.001545107879432142,0.004286119936351119,0.012742022583718123,0.007554401631750752,0.005138914194148178,0.005010184766220082,0.0068101194247306394,0.004967861143473432,0.004766551851303652,0.018264137884628325
2021-02-24,0.0,0.0032145899522633393,0.008494681722478747,0.006560401417046706,0.0035816674686487303,0.0031313654788875512,0.0039209778506024895,0.0035255788760134034,0.007526134502058398,0.018264137884628325
2021-03-03,0.0021631510312049985,0.004554002432373064,0.008494681722478747,0.006958001502928325,0.008253407645147074,0.005949594409886347,0.005571915892961432,0.00416659321710675,0.005770036451578105,0.006728892904863067
2021-03-10,0.0018541294553185703,0.004821884928395009,0.012337513930266754,0.0085484018464548,0.006073262229447847,0.007515277149330123,0.007429221190615243,0.005448621899293442,0.009031361402470078,0.012496515394745696
2021-03-17,0.0,0.02009118720164587,0.020023178345842763,0.01093400236174451,0.009654929698096577,0.011272915723995185,0.0076355884459101105,0.005769129069840115,0.007526134502058398,0.017302867469647886
2021-03-24,0.011124776731911422,0.02946707456241394,0.06209207830478514,0.02504880541054197,0.020867106121692604,0.018475056325436553,0.015477544147115089,0.01105749738386022,0.01003484600274453,0.0
2021-03-31,0.018541294553185702,0.045272141827708695,0.10436323259045319,0.04810961039167584,0.04173421224338521,0.04243000223892632,0.032193291825999386,0.021794487597173767,0.020320563155557674,0.022109219544550078
2021-04-07,0.03059313601275641,0.07018521395774957,0.15553357725205136,0.07633921648927076,0.06680588452392631,0.06497583368691669,0.04313075635662738,0.039582635562514124,0.04440419356214455,0.06728892904863067
2021-04-14,0.042644977472327115,0.08786545869519793,0.15796062917275958,0.09124921970983146,0.08455849719462002,0.08392059483418637,0.05675099520608866,0.04615303255872092,0.06196517406694747,0.08843687817820031
2021-04-21,0.0392457401375764,0.0822399262787371,0.1444095892821387,0.08727321885101527,0.08144400374362112,0.07640531768485624,0.05571915892961432,0.048556836337820965,0.06748433936845696,0.08651433734823943
2021-04-28,0.04017280486523569,0.062148739077091224,0.13126305804496924,0.08289961790631747,0.0750592921690734,0.07327395220596869,0.06810119424730639,0.04727480765563428,0.05318468381454601,0.07497909236847418
2021-05-05,0.031211179164529267,0.04714731929986231,0.10456548691717887,0.06461001395576302,0.05590515744543018,0.05886967100308596,0.05386185363196051,0.04390948236489421,0.05644600876543798,0.1086235568927895
2021-05-12,0.025957812374459984,0.03750354944307229,0.08251976530407927,0.05506761189460417,0.04640595241988355,0.04477852634809198,0.03673337144248648,0.03477502800431403,0.03712893021015476,0.07209528112353286
2021-05-19,0.014524014066662134,0.016876597249382532,0.048338784087438594,0.03200680691347029,0.023981599572691498,0.025677196926877918,0.020636725529486786,0.016666372868427,0.02558885730699855,0.04133462784415884
2021-05-26,0.00772553939716071,0.014197772289163081,0.028315605741595827,0.020675204465844164,0.018998410051093265,0.011899188819772694,0.013001137083576675,0.010256229457493538,0.014801397854048182,0.023070489959530517
2021-06-02,0.005871409941842139,0.015001419777228917,0.021438958632922556,0.014114803048797458,0.011990799786345749,0.010176937806384541,0.009905628254153656,0.006249889825660124,0.012543557503430664,0.017302867469647886
2021-06-09,0.005253366790069282,0.0064291799045266785,0.016989363444957495,0.010138802189981273,0.0071633349372974605,0.006106162683830725,0.007016486680025507,0.0035255788760134034,0.005519165301509491,0.0
2021-06-16,0.0,0.004554002432373064,0.01800063507858592,0.0049700010735202315,0.005450363539248068,0.006889004053552613,0.002682774318833282,0.003044818120193394,0.003512196100960586,0.005767622489882629
