,Under 10,10s,20s,30s,40s,50s,60s,70s,80s,Over 90
2021-09-15,0.07653242929085506,0.08398626732381313,0.09193626977779004,0.06834406929808036,0.049624234270496184,0.03190954118976778,0.017864586434824033,0.011405442252654418,0.01465901750989102,0.020162887325465007
2021-09-22,0.04576790820958065,0.04778529002906609,0.06067793805334142,0.04289041299058415,0.030719764072211924,0.02077279537848744,0.012122397937916309,0.00972557091311617,0.009772678339927347,0.0
2021-09-29,0.028491280607288616,0.024090104890686213,0.029828211972349656,0.025954712534021717,0.015044807532801225,0.012558458042507615,0.007868924977243919,0.005128028299643071,0.00671871635870005,0.0
2021-10-06,0.014397189668576693,0.013032351826108934,0.018285102544693795,0.013027461889663411,0.009688540976620684,0.007977385297441944,0.005210504376823677,0.003890228365246468,0.008703791646497793,0.018722681087931792
2021-10-13,0.009547609990740334,0.007898395046126628,0.013790440466668505,0.008718378341543974,0.005828878311137648,0.0038702166294520327,0.0031901047205042917,0.001945114182623234,0.002901263882165931,0.0
2021-10-20,0.006668172057024995,0.004739037027675976,0.007457052993087414,0.005110773510560261,0.003544588162178299,0.002053584333994956,0.0024457469523866235,0.0,0.0018323771887363775,0.0
2021-10-27,0.006365073327160222,0.005528876532288639,0.006129084651852669,0.004910351019950055,0.002599364652264086,0.0024485043982247555,0.002658420600420243,0.0012377999343966034,0.001985075287797742,0.0
2021-11-03,0.00242478983891818,0.0026327983487088756,0.0037796022019758128,0.0035073935856786104,0.0021267528973069796,0.0022905363725328354,0.0005316841200840486,0.0017682856205665763,0.0035120562784113902,0.006480928068899466
2021-11-10,0.006668172057024995,0.002369518513837988,0.002145179628148434,0.002104436151407166,0.0018904470198284262,0.0018956163083030365,0.0005316841200840486,0.0,0.0009161885943681887,0.0
2021-11-17,0.0019701417441210212,0.0026327983487088756,0.0022473310390126455,0.0018038024154918568,0.0012602980132189509,0.0007898401284595985,0.0005316841200840486,0.0,0.001374282891552283,0.0
2021-11-24,0.0027278885687829525,0.001842958844096213,0.0006129084651852669,0.0007014787171357221,0.0,0.00039492006422979926,0.0,0.0006188999671983017,0.0,0.0
2021-12-01,0.00242478983891818,0.001184759256918994,0.0018387253955558008,0.0005010562265255157,0.0009452235099142131,0.00039492006422979926,0.0,0.00044207140514164407,0.0,0.0
2021-12-08,0.0007577468246619313,0.0006581995871772189,0.0018387253955558008,0.0017035911701867538,0.0011027607615665819,0.0,0.0,0.0,0.0,0.0
2021-12-15,0.0007577468246619313,0.0007898395046126627,0.002145179628148434,0.0023048586420173728,0.001496603890697504,0.0004739040770757591,0.0,0.0,0.0,0.0
2021-12-22,0.002879437933715339,0.004475757192805089,0.004086056434568446,0.0036076048309837136,0.0015753725165236884,0.0016586642697651568,0.0014887155362353361,0.0006188999671983017,0.001374282891552283,0.0
2021-12-29,0.00848676443621363,0.009214794220481064,0.012973229179754816,0.008918800832154182,0.005435035182006725,0.0045020887322197115,0.002339410128369814,0.0018566999015949051,0.001985075287797742,0.0
2022-01-05,0.03622029821884031,0.06779455747925354,0.15874329248298413,0.07114998416662324,0.03946308153891839,0.03190954118976778,0.0186089442029417,0.012112756500881049,0.014048225113645561,0.026643815394364473
2022-01-12,0.295066613523356,0.4861462150890939,0.8172112869136892,0.3268890821852465,0.22031584643583785,0.16010059403876062,0.08421876462131331,0.048804683127637506,0.04947418409588219,0.09145309608335914
2022-01-19,0.8561023625030499,0.9944079363073424,1.0993534837206405,0.6996749147202302,0.4920676055361741,0.33915735116055157,0.21713979464232547,0.1257251076222836,0.1404822511364556,0.2527561946870792
2022-01-26,1.1954213905866629,1.2830942752432706,1.0220248656964326,0.8588103722647341,0.6807184643898858,0.4566065782624939,0.3246463237233201,0.22554483090326682,0.25653280642309284,0.4608659960106287
2022-02-02,1.2675588882944786,1.2763806394540629,0.9325402297793836,0.9069117700111836,0.7420004552826572,0.5066034583939865,0.40535597315207866,0.2843403277871055,0.34662468486929804,0.6192886821392823
2022-02-09,1.3283301836323655,1.3473345549517672,0.9005668381788855,0.9155299371074225,0.7700420860767789,0.5292718700807769,0.4217318440506674,0.3086542550698959,0.41732390473471,0.8173170398000994
2022-02-16,1.37561358549127,1.3320643245292556,0.856743882918139,0.8996965603492162,0.739716165133698,0.4893849435935672,0.37707037796360726,0.2875232419041253,0.40907820738539624,0.790673224405735
2022-02-23,1.1317706573150605,1.0038860103626943,0.637629106614406,0.6905556913974659,0.5783980194416722,0.36743362775940525,0.26945751205859586,0.18637730440771716,0.2948600292874954,0.546558267143855
